0.26853656879186094505164950733431843261439517898894499257398902866565041798877524e-2,0.42051392341346323788698432377477460928503339680708604708619613123154051505200895e0,0.17803915330283836111234811629291376034257424759817740575116356605248530022321484e1,0.14571737413553345363987962673353442414716660305617876794968389862000911185853766e2
0.25694268581619406691269277542214527477259843827894882545958420075540861203009715e0,0.2783746621563187640173069301772599105064839871107602666586336860267930150563534e0,0.21573615905021502937878732480336592981156797723875640215934585591298459904348956e1,0.23729532401436922562439610275290658164078166968479251246805357381156132431726812e2
0.25332955503585550078385245318739792584370978424556144293607328836971427366422836e0,0.27395770000593360665609561689957488190640054305612347774462434009005880713722053e0,0.21486559741398094220093978785190742717275641213293399145682316721858973114065009e1,0.23736057405684383328815469131959676843647086060399176289911274013626036237857109e2
0.19608584373815407759186511872283211995920127925144968569456926067296045291336403e0,0.12660087703751815111408497535170496340047105910468488125788204582179610610478502e0,0.19217736055334080320628254532331718536466297291940085350089270794276317711679743e1,0.24456532037265669456189334514166058829666103544252667623219914447886395400433663e2
0.21274288450316301296609635701735615711259433694197858273791009770664743936442167e0,0.17736655380296837596730716436202892348807045875843437663680361939786968542670684e0,0.1991503446441497023062454216642244633643777589889889950573476547868160547605537e1,0.24461630150799015077336406520614185913634651524243553947898680089279802380059779e2
0.18896979078998075365597202763735798254936773439412922358951512449049904329278623e0,0.10009595939299847925976966044966422638333843274235953412383066821411931773535771e0,0.18986434607202684769707963605898841997763898953796671470794822233841559537746001e1,0.24469227124446530028878538869391828239595471961968782299942597253479877914022314e2
0.15490107430442084270412195964824130588531675219796500784822978478339064425735216e0,0.64608703728749114087928822042577474436308852614845475049642790608938221660522642e0,0.47578526770531448171326235767256789421817594234463019551135379503957086736887401e1,0.30518409889739183020522928827494681338462825245420099266131963104414719347198569e2
0.3279260713157343223186598879787898168474780720350023854538618844045587479178969e0,0.21215354249540216269360745135067314067097854996050147137051185733000962297303552e0,0.22662686790481644958133858818197705003908085748349346502156153871827498831877546e1,0.31908616428117479764156481776483866226457518427957995434523995862856182800522275e2
0.3247060180272033667210253399708149970730459786296816708862573723638327506454863e0,0.20867991651382202683069411827052081005837726384496191700627858721306887909750376e0,0.22586409127932264830406505314988336234926090997069435996712348498493185283540271e1,0.31915170107771328396570822409753403850295684812128633788193773443004407526578954e2
0.26663374852290210120431650938976833069976277838655398631062798803372803811900065e0,0.93706719722057865356238917889538812659325602814041405164356763902987349085165615e-1,0.20731320599832491212293985122484438681900058625440989786972676887685885145302047e1,0.3255820189377493795196260343489455282607405057597717779927085980370556078819163e2
0.26124268544266256302092627792369473331288247372332159887317438339879236023328045e0,0.74783537556667970733901021830564742625222462689737530327400720566817350027151527e-1,0.20576132607424283570750760424386591607917391787518410337801794157670235659878391e1,0.32569536076161942353305282677306479823533403913216869827731785721172344116433299e2
0.29970507423699692370979413758613769420248476193983750648938117802898867676022287e0,0.16691742679898067945823624411232979353337167548339763370308318484863395844917719e0,0.2184250334762198970272122022463577246941164051604741041458171164339763252931743e1,0.32580366815550668618409850065827266332422651874096402687847644863874238408091311e2
