O_{index}(m_3)	            z_0	          v_x	       v_y	          v_z	        T           stability
O_{286}(0.5)	1.74532974080546E-01	3.08780849256280E-01	8.10990410854011E-02	5.11422605651493E-03	1.87751995421506E+02	   U
O_{287}(0.5)	1.38778342321070E-01	3.12572701308927E-01	8.39471807123777E-02	-1.41450374562177E-03	1.87816880624031E+02	   U
O_{288}(0.5)	3.51622205263911E-01	2.80993987461761E-01	6.51300912474897E-02	1.13858280611460E-04	1.88341462744187E+02	   U
O_{289}(0.5)	8.99834678065693E-02	1.58330434508941E-01	7.24868614313439E-03	-1.00623988342056E-03	1.88410099879244E+02	   S
O_{290}(0.5)	1.77019623782190E-01	3.00659146435143E-01	7.36583651864193E-02	-1.06085007233791E-02	1.88559929057932E+02	   U
O_{291}(0.5)	1.46001355305458E-01	2.11132232468578E-01	6.11492511057767E-02	-1.12586912650526E-03	1.88636047583026E+02	   U
O_{292}(0.5)	1.41368792171618E-01	2.07606849351271E-01	6.03430553588270E-02	1.63343319931427E-03	1.89958798225959E+02	   U
O_{293}(0.5)	1.84174162544326E-01	3.07625976636217E-01	7.17794703583531E-02	-4.16871970527051E-03	1.89965309292062E+02	   S
O_{294}(0.5)	2.28844562948937E-01	2.99965651030721E-01	7.34221762520901E-02	5.99185971909836E-03	1.90705848208918E+02	   U
O_{295}(0.5)	4.15102581247066E-01	2.53370928051100E-01	4.76533624858589E-02	-7.20070250132281E-04	1.90746043705415E+02	   U
O_{296}(0.5)	1.34378845247685E-01	2.97396731793483E-01	8.49133798894718E-02	-1.02407353352460E-02	1.90861076095087E+02	   S
O_{297}(0.5)	2.27444163689661E-01	3.07023901270495E-01	8.24815005138937E-02	6.61631255024902E-04	1.90952517647459E+02	   S
O_{298}(0.5)	3.44460292617699E-01	2.79736029316373E-01	6.57122163744253E-02	-1.34020152979808E-03	1.91241211434416E+02	   U
O_{299}(0.5)	2.55696760367752E-01	3.03303965975658E-01	6.43766384888766E-02	2.34275765899130E-03	1.91286426158634E+02	   U
O_{300}(0.5)	1.39033377712948E-01	2.10368218341345E-01	6.23002374307641E-02	1.49247162510159E-03	1.91477544402297E+02	   U
O_{301}(0.5)	2.33375058541580E-01	3.09243187787524E-01	5.70753859495946E-02	-3.37501247170557E-03	1.91570855895847E+02	   U
O_{302}(0.5)	2.52937250723645E-01	3.20117568262726E-01	1.70163667927594E-02	1.17558408528934E-03	1.91646001206654E+02	   S
O_{303}(0.5)	9.30199481909570E-02	3.09843285079660E-01	9.90083351170448E-02	-4.92777688297560E-04	1.92192348234474E+02	   S
O_{304}(0.5)	5.85820066971613E-01	2.29709219072725E-01	4.45112949101260E-03	-4.60813707092962E-04	1.92741249599552E+02	   U
O_{305}(0.5)	5.88997297820736E-01	2.29910687642272E-01	4.55513769360928E-03	2.72983521240880E-04	1.93179847929939E+02	   U
O_{306}(0.5)	2.44894137888856E-01	3.02030972805189E-01	7.64282886952862E-02	-5.29986939198109E-03	1.93309550918912E+02	   S
O_{307}(0.5)	5.91100817716420E-01	2.30043310825667E-01	4.54981580276867E-03	7.81224168089994E-04	1.93470233379302E+02	   U
O_{308}(0.5)	5.58552369284042E-01	2.35230619956208E-01	1.32469789923596E-02	-8.73306006178013E-04	1.93644045437435E+02	   U
O_{309}(0.5)	7.94488922081907E-02	3.08234409553948E-01	1.02413811353092E-01	-1.71893426614087E-03	1.93648380345320E+02	   U
O_{310}(0.5)	1.72452752696481E-01	3.03145014072339E-01	7.84707962701101E-02	-2.73733627597021E-03	1.93716076236381E+02	   U
O_{311}(0.5)	8.81052402568951E-02	1.62590065257423E-01	5.88879824267424E-03	-2.12590378496289E-03	1.94050066920482E+02	   S
O_{312}(0.5)	2.51737615625660E-01	3.01156056552841E-01	6.64879511377698E-02	4.91627220309548E-03	1.94139578417678E+02	   U
O_{313}(0.5)	2.97489223430552E-01	2.83965195976361E-01	5.40351273134655E-02	-3.11039285064463E-03	1.94172152520046E+02	   U
O_{314}(0.5)	2.22004639467811E-01	2.95545407042885E-01	7.96172016830826E-02	9.84502305088230E-03	1.94603161591672E+02	   U
O_{315}(0.5)	1.05720298329515E-01	3.10618132070266E-01	9.52851268658060E-02	6.03544832512525E-04	1.94711186838645E+02	   U
O_{316}(0.5)	1.75030307067969E-01	2.11817371910014E-01	6.08215806803107E-02	7.34656495179211E-04	1.94801768735244E+02	   S
O_{317}(0.5)	3.62006751313106E-01	2.87977946695142E-01	2.43563296575109E-02	-8.11891714553620E-04	1.94968939624449E+02	   S
O_{318}(0.5)	1.79481380556764E-01	3.02854648610287E-01	7.33851398072582E-02	-6.95310024302520E-03	1.95034625067011E+02	   S
O_{319}(0.5)	2.66498378138739E-01	2.88803280531082E-01	6.29088878225386E-02	2.53449649663989E-04	1.95153400879565E+02	   S
O_{320}(0.5)	2.32730569747364E-01	1.96371248224219E-01	3.74569904310326E-02	5.95679039354655E-04	1.95449359026823E+02	   U
O_{321}(0.5)	1.28735318546162E-01	3.07333497664212E-01	8.93210446544458E-02	-4.31476476544966E-04	1.95740299073863E+02	   S
O_{322}(0.5)	9.34175154327123E-02	2.85983202795854E-01	1.05163842034267E-01	-8.86412485651533E-04	1.96075464117938E+02	   U
O_{323}(0.5)	1.78754130578176E-01	3.09608267519789E-01	7.16266759816517E-02	-2.82807411390740E-03	1.96127090102069E+02	   U
O_{324}(0.5)	1.08852994702724E-01	1.96301661159580E-01	5.72317657543986E-02	-1.61259058094443E-04	1.96128604518153E+02	   U
O_{325}(0.5)	2.15848713639647E-01	2.20625106516802E-01	6.14760547642652E-02	-5.43783375994948E-04	1.96246756113524E+02	   U
O_{326}(0.5)	1.80102002621512E-01	2.94730972696026E-01	8.06552121503305E-02	-1.89695296262876E-03	1.96281989799972E+02	   S
O_{327}(0.5)	2.01090041837991E-01	3.01720142890126E-01	6.77140193352116E-02	-7.92693737716754E-03	1.96328616150048E+02	   U
O_{328}(0.5)	3.83910581762475E-01	2.72452298811703E-01	5.93923049451605E-02	-7.16566286379939E-04	1.96436737932480E+02	   U
O_{329}(0.5)	2.25886698175377E-01	3.09650397048318E-01	5.90963698338841E-02	-1.89254771011412E-04	1.96512351666838E+02	   S
O_{330}(0.5)	1.60253079265729E-01	1.95087923442514E-01	3.86996003573391E-02	-7.89386484656848E-04	1.96732885249158E+02	   U
O_{331}(0.5)	1.53685766707488E-01	2.91324170915309E-01	8.18639423645062E-02	-9.74551859530942E-03	1.96881831276900E+02	   U
O_{332}(0.5)	7.08978927628032E-02	3.47327553169512E-01	2.81859014546335E-02	-5.64008219380362E-03	1.97207782200589E+02	   U
O_{333}(0.5)	5.86765737647585E-01	2.30159256777953E-01	1.19581206764272E-02	1.20796578052679E-03	1.97221326900328E+02	   U
O_{334}(0.5)	2.10032464108302E-01	3.11252537331315E-01	8.67489497572447E-02	4.69276146175132E-03	1.97242055944738E+02	   S
O_{335}(0.5)	2.86900535982182E-01	2.88830474210837E-01	5.37563350903686E-02	-4.61019258086727E-03	1.97308919884048E+02	   U
O_{336}(0.5)	1.32803495391887E-01	2.99196755110493E-01	7.95689091848869E-02	-1.61990719869879E-02	1.97890346207310E+02	   U
O_{337}(0.5)	7.94106127234586E-02	1.92783902446224E-01	6.40337191105578E-02	-7.37374612582454E-04	1.97897417516854E+02	   U
O_{338}(0.5)	2.34619882208486E-01	3.05695461387954E-01	5.91973883392398E-02	-3.16286750618127E-03	1.98082037848611E+02	   S
O_{339}(0.5)	2.77290540211340E-01	2.91570480307260E-01	6.23611219677564E-02	4.27824302989939E-03	1.98131486372197E+02	   U
O_{340}(0.5)	1.63909772685917E-01	2.00876573690118E-01	4.64292299199032E-02	-6.89213971101288E-04	1.98667610543923E+02	   U
O_{341}(0.5)	1.63524634353875E-01	2.21081170798351E-01	6.95694129453371E-02	-1.96813070637459E-03	1.98818705406818E+02	   U
O_{342}(0.5)	1.76699014015190E-01	2.22655068699809E-01	7.18748529221652E-02	-6.42611077097457E-03	1.98832035070401E+02	   U
O_{343}(0.5)	1.53198557349788E-01	2.11743569588984E-01	6.07663547599698E-02	8.20690717882659E-04	1.98909583010633E+02	   S
O_{344}(0.5)	1.73679489678987E-01	2.87950837496508E-01	8.22613855705906E-02	-4.06756845243396E-03	1.99369915662984E+02	   S
O_{345}(0.5)	2.23674434074168E-01	3.06558282283160E-01	8.22001690910604E-02	-2.87639065080926E-04	1.99716301367441E+02	   S
O_{346}(0.5)	9.04047923965742E-02	3.07947354766686E-01	9.87625064068397E-02	-1.61819322300777E-03	1.99791971979294E+02	   S
O_{347}(0.5)	9.29464552932820E-02	2.90911083827163E-01	1.04117412180477E-01	-7.63827727301851E-04	1.99864000056952E+02	   U
O_{348}(0.5)	1.55453550974300E-01	2.76267235875546E-01	9.27803283473238E-02	3.75809953836611E-04	2.00062917924820E+02	   U
O_{349}(0.5)	2.79590027945442E-01	2.94715383074799E-01	6.15982966525184E-02	5.00886936552008E-03	2.00882470019935E+02	   S
O_{1}(0.6)	-3.52479855506538E-01	-2.76931766729575E-01	-1.49598620831487E-01	4.70805863436107E-02	4.21231140008807E+00	   U
O_{2}(0.6)	-4.69938380492906E-01	3.03263248993225E-01	-9.27254693961649E-02	-1.51736881044989E-01	4.63345431777071E+00	   S
O_{3}(0.6)	6.58187138754522E-02	2.00148591089237E-01	-2.23030961917868E-01	6.25761900355267E-02	7.10204922320053E+00	   U
O_{4}(0.6)	-3.51333392106598E-01	2.28317012358573E-01	1.29256452710251E-01	-2.12555130419786E-02	7.19518975436622E+00	   U
O_{5}(0.6)	4.37725338250132E-01	8.06104825433247E-02	1.13629858535144E-01	3.46571887759217E-02	7.46801843387220E+00	   U
O_{6}(0.6)	6.14604358837056E-01	1.03810482319459E-01	7.24946332304501E-02	5.89669051037992E-02	7.97434883999123E+00	   U
O_{7}(0.6)	6.53359877898639E-01	1.51342596609477E-01	2.11330687106580E-01	-1.69647882068766E-03	8.18600312780016E+00	   U
O_{8}(0.6)	7.23794540561745E-01	2.17453097136500E-01	-2.40235097321237E-01	4.80721353013616E-01	8.25135312975706E+00	   U
O_{9}(0.6)	1.07028905881688E+00	1.65600771636492E-01	-2.02946251623452E-01	5.07884714349597E-01	8.61423261666258E+00	   U
O_{10}(0.6)	-9.63823646207989E-01	1.70735134325590E-01	1.34711918665818E-01	-1.14187788124239E-01	8.88830267934411E+00	   U
O_{11}(0.6)	9.41197374674268E-01	1.82451336436539E-01	1.33392767657257E-01	1.16602407413130E-01	8.97177023633460E+00	   S
O_{12}(0.6)	-9.67482952060323E-01	1.73053642652509E-01	1.41917505009224E-01	-1.34103001755141E-01	9.10939345642401E+00	   U
O_{13}(0.6)	1.49537904573118E+00	1.37139100998341E-01	-1.60420527463365E-01	5.04566253462172E-01	9.42214859157473E+00	   U
O_{14}(0.6)	1.94201346621697E-01	2.99939297466322E-01	4.59850051255887E-02	5.88219110922010E-02	9.68675085355548E+00	   S
O_{15}(0.6)	1.30079790060819E-01	3.04115709056722E-01	6.42601706960349E-02	-3.09673474957250E-02	9.74512872371661E+00	   S
O_{16}(0.6)	5.56776335081557E-01	2.94325642915117E-01	1.27075042423760E-01	1.21681006222167E-01	9.75848032727948E+00	   U
O_{17}(0.6)	1.11930326272413E-01	3.06614283327732E-01	6.12327088227321E-02	-4.51829253799071E-02	9.78520477729666E+00	   S
O_{18}(0.6)	6.90881215840898E-02	3.08989339915239E-01	6.37708976508258E-02	-4.97334147965473E-02	9.82646233733018E+00	   S
O_{19}(0.6)	-6.04082688396744E-01	1.67116013354737E-01	2.78685395370442E-01	9.04452728519782E-02	9.96495336789951E+00	   U
O_{20}(0.6)	9.19997547852063E-01	2.00171547972875E-01	3.89543736927381E-02	2.04140265818442E-03	1.05481145229787E+01	   U
O_{21}(0.6)	1.24895245766047E-01	3.87228041622095E-01	1.15603632858081E-01	1.28456508946423E-01	1.16572141568012E+01	   U
O_{22}(0.6)	5.60650166429802E-01	2.00338828229699E-01	2.23675978572324E-01	4.36292382842252E-03	1.32189337918920E+01	   U
O_{23}(0.6)	3.05344540234322E-01	2.91887550672009E-01	-8.37761823004749E-02	2.45101057296523E-02	1.40054476451945E+01	   U
O_{24}(0.6)	2.90490583200196E-01	3.01345483457380E-01	6.53656883034629E-02	8.95181210793293E-02	1.42662968983220E+01	   S
O_{25}(0.6)	1.01716131951232E-01	3.27189065036374E-01	7.88612152964659E-02	1.03979258866717E-01	1.49911099746234E+01	   S
O_{26}(0.6)	5.16371833197438E-01	1.63836530013187E-01	1.02341948406346E-01	3.12895051145296E-03	1.65140127745072E+01	   U
O_{27}(0.6)	7.53808980805326E-02	1.86258501760206E-01	1.02181349493532E-01	1.01172797608761E-02	1.66433823314255E+01	   U
O_{28}(0.6)	9.85995661540340E-02	1.24808833693202E-01	1.14992477862130E-01	-3.80580063619241E-04	1.68833797484745E+01	   U
O_{29}(0.6)	3.99888912755395E-01	3.67158609947262E-01	1.48423146585100E-01	1.07355828391469E-02	1.70738824168435E+01	   U
O_{30}(0.6)	6.67661342149934E-01	2.30308903713911E-01	5.37812054604578E-02	-3.89991107194355E-03	1.97961777776144E+01	   U
O_{31}(0.6)	7.25474160861186E-01	1.51852858018429E-01	1.54265581939494E-01	4.77970073365737E-03	2.01318191648231E+01	   U
O_{32}(0.6)	3.47656300873245E-01	2.13556667947076E-01	1.09193055039834E-01	2.89784855364806E-02	2.04383758019098E+01	   U
O_{33}(0.6)	6.09376125616761E-01	3.03910993102960E-01	1.38580136288969E-01	4.84779289887504E-03	2.12008258204048E+01	   U
O_{34}(0.6)	2.99275200476920E-02	2.64079508319438E-01	3.01993586776927E-02	-4.38479956943446E-02	2.21098265461577E+01	   S
O_{35}(0.6)	3.61421257668034E-01	2.83187680215579E-01	1.03376805061910E-01	3.72189400548040E-02	2.23509975966622E+01	   S
O_{36}(0.6)	2.84657365512469E-01	2.95574736835510E-01	8.52175445861407E-02	1.22805851614495E-01	2.24723904562677E+01	   U
O_{37}(0.6)	4.41136500004183E-01	3.53027161421580E-01	1.36371559597091E-01	4.66840527873695E-03	2.32772321131374E+01	   U
O_{38}(0.6)	3.60412839012452E-01	3.02359997412570E-01	-7.73860585618426E-02	1.12876319848755E-01	2.34688885862603E+01	   S
O_{39}(0.6)	2.61210999614854E-01	2.95163094870166E-01	7.56976426188185E-02	1.13924005760521E-02	2.37056597514463E+01	   S
O_{40}(0.6)	-2.54116689560042E-01	3.00792423690455E-01	5.84114431990592E-02	-7.77442132988037E-02	2.39477778124606E+01	   S
O_{41}(0.6)	1.16894843293348E-01	2.99079181560626E-01	2.84479250270231E-02	3.50838630677112E-02	2.44966992168536E+01	   S
O_{42}(0.6)	-9.74243782312812E-02	1.96977650664336E-01	9.04276600409987E-02	-1.76976273577934E-02	2.44990386766772E+01	   S
O_{43}(0.6)	-6.24605357387927E-02	3.21520244454966E-01	7.24421354028128E-02	-8.96600175633018E-02	2.48711256312738E+01	   S
O_{44}(0.6)	5.45337542268119E-01	2.28085620341781E-01	1.86015267116855E-01	-1.35601425018623E-03	2.54180149059723E+01	   U
O_{45}(0.6)	1.39502285940201E-01	3.44438984440531E-01	9.21046910981705E-02	1.25726137216350E-01	2.57653910848795E+01	   U
O_{46}(0.6)	-4.78531786535389E-01	3.15506881701062E-01	7.92331346889720E-02	-1.16306652397135E-01	2.61691556011475E+01	   U
O_{47}(0.6)	-3.75118124330404E-01	2.82588057797759E-01	1.09127939951787E-01	-4.09496267860412E-02	2.66951915329998E+01	   S
O_{48}(0.6)	2.79722365013193E-01	3.48844233184401E-01	7.12097709809991E-02	1.46131692615407E-01	2.70923832130182E+01	   S
O_{49}(0.6)	1.04205609361572E-01	3.34768850547421E-01	2.67299632452465E-02	-2.06781694120440E-02	2.74546315562803E+01	   S
O_{50}(0.6)	9.76332133097111E-01	2.07222216017820E-01	2.69855238369468E-01	1.12030350220173E-02	2.74593540036324E+01	   U
O_{51}(0.6)	1.30471666668083E-01	2.97241462472928E-01	2.09899487809734E-01	-4.10415849094083E-03	2.75092804871760E+01	   U
O_{52}(0.6)	3.77896681196186E-01	3.02580797479664E-01	8.01116597255015E-02	1.18882542197363E-01	2.80818611070543E+01	   S
O_{53}(0.6)	6.85081521346310E-01	2.61072863599639E-01	2.25565097346702E-01	-6.30852197482914E-03	2.88298741096371E+01	   U
O_{54}(0.6)	7.01377621999238E-01	1.14847634801373E-01	4.92230876724560E-02	8.75647820670629E-04	2.96326788991784E+01	   U
O_{55}(0.6)	5.69646664414824E-01	2.50011490776423E-01	5.90850601019137E-02	2.03986268725984E-03	2.96702642732905E+01	   U
O_{56}(0.6)	1.19653959759519E-01	2.56304278758870E-01	3.56317413441126E-02	-1.21047708875851E-03	3.02883700357221E+01	   U
O_{57}(0.6)	3.38228834087769E-01	2.25046421141775E-01	5.66790028684070E-02	7.50569565716198E-02	3.03489206629425E+01	   S
O_{58}(0.6)	7.91676310888868E-02	1.74548334319345E-01	7.26237716699995E-02	1.26144630125641E-02	3.05987844892437E+01	   U
O_{59}(0.6)	8.61926361138026E-02	2.66702433834442E-01	3.54672184676783E-02	5.52668646574773E-02	3.10328286752835E+01	   U
O_{60}(0.6)	9.77614169490957E-01	5.61982832312505E-02	2.88156208924180E-01	-2.70650745056126E-03	3.13657588079709E+01	   U
O_{61}(0.6)	2.27035067669420E-02	2.75301955850994E-01	5.47893370076239E-02	-2.22502429667759E-02	3.17575490993629E+01	   U
O_{62}(0.6)	5.92672901590592E-01	2.56608868471286E-01	1.49458314801800E-01	1.24755177930110E-03	3.21111754889896E+01	   U
O_{63}(0.6)	3.90489136082742E-01	3.02726503077326E-01	8.20065852025018E-02	1.23252556110684E-01	3.26992866246976E+01	   S
O_{64}(0.6)	1.43374385839267E-01	2.14733883573994E-01	8.13670109713878E-02	2.97046820771193E-02	3.32392686955820E+01	   U
O_{65}(0.6)	6.37356304464187E-02	2.16932944446637E-01	9.40657136069709E-02	1.30495295893212E-02	3.33539797046004E+01	   U
O_{66}(0.6)	2.39219834864482E-01	2.97549111160229E-01	7.23227491717340E-02	4.55934976748879E-03	3.35021983251596E+01	   U
O_{67}(0.6)	3.96054042060431E-01	1.46022180506499E-01	2.08632885900424E-02	2.36674558639434E-04	3.55139606496717E+01	   U
O_{68}(0.6)	5.24840466998965E-01	3.06181617163838E-01	9.32897223356549E-02	1.09843000309880E-01	3.58308142333890E+01	   S
O_{69}(0.6)	4.09361741763673E-01	3.21132360104172E-01	6.78710978538904E-02	1.04475507977494E-01	3.69807971833033E+01	   S
O_{70}(0.6)	6.73603712265433E-01	2.66956499583551E-01	1.45463973879742E-01	-6.42523240035411E-03	3.73530217936097E+01	   U
O_{71}(0.6)	5.50888447337474E-02	3.29994543858622E-01	5.01648098577346E-02	-1.18480584536225E-02	3.75042736472414E+01	   U
O_{72}(0.6)	2.63153017384193E-01	2.62280159400446E-01	7.00914424761958E-02	5.28585424925403E-02	3.78163513335569E+01	   U
O_{73}(0.6)	6.08735899107837E-02	1.65980458745414E-01	1.76424743480204E-02	1.00840419802851E-02	3.80735866391459E+01	   U
O_{74}(0.6)	1.95681895783291E-01	3.31572374701238E-01	3.13288583589109E-02	3.06140315255276E-02	3.84109366259827E+01	   U
O_{75}(0.6)	1.39388947869271E-01	2.55328040580489E-01	3.54155028546066E-02	2.04090898065740E-02	3.87503063534815E+01	   S
O_{76}(0.6)	4.14396864622191E-01	1.53368157941066E-01	3.88648451294089E-02	-1.32021221864493E-03	3.92706136557825E+01	   U
O_{77}(0.6)	1.25438103270337E-01	2.61776639998099E-01	3.53304342666683E-02	4.82572820085314E-02	3.93463623720957E+01	   S
O_{78}(0.6)	-7.92206729519821E-02	3.23551821095671E-01	7.48109303621158E-02	-9.54052143256116E-02	3.98453305729374E+01	   S
O_{79}(0.6)	8.98675408094513E-01	6.29143516538000E-02	2.85258943215505E-01	-1.29314660814908E-03	4.01037039313388E+01	   U
O_{80}(0.6)	1.44969957489897E-01	2.74433323115620E-01	3.67282792696881E-02	3.99464994976000E-02	4.07583853178760E+01	   S
O_{81}(0.6)	2.00320188521853E-01	1.89628018108451E-01	4.08574667712186E-01	6.19515566327188E-03	4.13214531310949E+01	   U
O_{82}(0.6)	3.88737892736099E-01	1.58821710364273E-01	3.00430332445950E-02	-2.87056794393008E-03	4.36467414081756E+01	   U
O_{83}(0.6)	9.65992986721811E-01	2.35541917861955E-01	2.04279338485358E-01	-1.44858141854311E-04	4.42668332309046E+01	   U
O_{84}(0.6)	2.42279655527267E-01	3.05435983246081E-01	6.89073357747790E-02	7.78928710292982E-03	4.43783950977016E+01	   U
O_{85}(0.6)	6.09959432374787E-01	3.73903308851199E-01	1.62084848997620E-01	-4.66931605204104E-03	4.69420790797929E+01	   U
O_{86}(0.6)	4.39883976116638E-01	3.30513323009204E-01	9.84808270750881E-02	1.23117751066673E-01	4.78547487138629E+01	   U
O_{87}(0.6)	1.97220402154314E-01	2.72585941553063E-01	6.52452958664038E-02	-4.01610932519215E-03	4.87355966181272E+01	   S
O_{88}(0.6)	-7.89913989908143E-02	1.89476117075198E-01	1.01221283328433E-01	-1.05003805892431E-02	5.01672141185167E+01	   U
O_{89}(0.6)	3.70196229200298E-01	1.95925317374051E-01	1.92132601462697E-02	-1.07920736044056E-03	5.22399303510817E+01	   U
O_{90}(0.6)	2.08049886630922E-01	2.96384195455699E-01	6.96325846180223E-02	-5.97261104491839E-03	5.24405235469413E+01	   S
O_{91}(0.6)	6.06048379320195E-02	2.16890309977213E-01	1.13289430039383E-01	9.59823658795948E-03	5.32291850615275E+01	   U
O_{92}(0.6)	-5.17309235779681E-02	1.69873611381666E-01	7.67610037909013E-02	-7.99617588724015E-03	5.35574205602745E+01	   S
O_{93}(0.6)	1.94098740623576E-01	2.66243707296781E-01	6.12781188323151E-02	1.40233833188206E-03	5.66355437654129E+01	   S
O_{94}(0.6)	-1.19848745183477E-01	2.05073411497851E-01	8.58463533820771E-02	-2.34012452250984E-02	5.74656645772601E+01	   S
O_{95}(0.6)	1.85399986308542E-01	4.23027130230349E-01	4.32570399861890E-02	-2.11444715408191E-03	6.15662515171779E+01	   U
O_{96}(0.6)	3.38901677630283E-01	2.19444319301739E-01	3.04314769670098E-02	-7.86579179328806E-03	6.39978696523327E+01	   U
O_{97}(0.6)	3.80453244425780E-01	2.78894093364261E-01	5.81827671518873E-02	-4.43190025322321E-03	6.43260076980554E+01	   U
O_{98}(0.6)	1.92233702092921E-01	2.63139556032495E-01	5.85616286277528E-02	6.54559898660745E-03	6.48471457799576E+01	   U
O_{99}(0.6)	7.74360500601803E-02	3.32152645396446E-01	4.21868877423173E-02	-1.59414758448145E-02	6.49824670156497E+01	   U
O_{100}(0.6)	1.73857730645843E-01	3.31665406911519E-01	3.19044411316210E-02	1.41136196320442E-02	6.57467512444996E+01	   U
O_{101}(0.6)	8.79512314917776E-01	1.98410200135164E-01	2.23699825855191E-01	2.95839191587663E-03	6.77774857103247E+01	   U
O_{102}(0.6)	2.42065346653638E-01	2.83947221027336E-01	7.56467760007474E-02	5.36750203257755E-03	6.83650146173167E+01	   S
O_{103}(0.6)	3.57717805210705E-01	2.24305692102619E-01	3.94392230192097E-02	2.07869586668030E-03	6.86096198227253E+01	   U
O_{104}(0.6)	2.53466637162537E-02	1.55490176909787E-01	1.23505642763061E-01	-3.62074884238404E-04	7.02498531334323E+01	   U
O_{105}(0.6)	1.76567404635350E-01	3.57492629006748E-01	1.51827040348964E-01	2.03229568624014E-03	7.07453034591595E+01	   U
O_{106}(0.6)	2.10072081549509E-01	3.17018466618939E-01	5.85995528354366E-02	1.49106582813069E-03	7.21287883137584E+01	   U
O_{107}(0.6)	2.26455028054348E-01	3.43583458587772E-01	1.37055991180941E-01	-3.53577749195786E-03	7.35546619891637E+01	   U
O_{108}(0.6)	2.24210813262743E-01	2.77983084719407E-01	9.58899992237237E-02	9.53039792864550E-03	7.36504178314655E+01	   U
O_{109}(0.6)	3.18085207235863E-01	2.91049928862386E-01	8.63580258134491E-02	2.80199124688766E-02	7.43819128365076E+01	   S
O_{110}(0.6)	2.25223538621422E-01	2.74895090321799E-01	7.22228689431163E-02	3.52190586034504E-03	7.53602140773562E+01	   U
O_{111}(0.6)	1.67402138237500E-01	3.37739838324872E-01	1.60513555596930E-01	1.62348965566423E-04	7.58318013389811E+01	   U
O_{112}(0.6)	1.72315418723603E-01	3.57863375577039E-01	1.51122617324477E-01	1.55671747866769E-03	7.59944154031785E+01	   U
O_{113}(0.6)	2.09691329494783E-02	1.65494732012606E-01	7.74834499328276E-02	3.06908417479157E-03	7.61716920390255E+01	   U
O_{114}(0.6)	1.79047086643334E-01	3.21248374091166E-01	1.62012452484740E-01	2.24227824735708E-03	7.62145547149938E+01	   U
O_{115}(0.6)	2.33858130300220E-01	2.99472630607934E-01	7.11157267990729E-02	3.11440031895629E-03	7.71197456306647E+01	   S
O_{116}(0.6)	1.61693332927709E-01	3.62767778161176E-01	1.48865608287186E-01	-2.61928395638484E-03	7.71551589685746E+01	   U
O_{117}(0.6)	3.71281363598932E-01	2.76966324125469E-01	6.26778848918944E-02	2.97745197367662E-03	7.74409575564326E+01	   U
O_{118}(0.6)	3.44257323488507E-01	2.31699683963091E-01	4.68574613084214E-02	1.65596864868917E-03	7.80368559405809E+01	   U
O_{119}(0.6)	3.13195361855779E-01	2.12679136657262E-01	8.49789805282803E-03	-8.59782699263749E-04	7.83528262058125E+01	   U
O_{120}(0.6)	2.73828724685630E-01	2.72362533244335E-01	8.12829035925420E-02	1.60361774294955E-02	7.83542007594287E+01	   U
O_{121}(0.6)	1.62919593771403E-01	2.66364384933298E-01	5.59349357478979E-02	-6.85146645033932E-03	7.88901562812894E+01	   U
O_{122}(0.6)	3.55871698432976E-01	2.98780396326560E-01	4.32157406055796E-02	-7.85046865917030E-03	7.92324575748735E+01	   U
O_{123}(0.6)	1.77154052332966E-01	2.87606261110084E-01	1.04896062311049E-01	7.81196484467142E-03	7.93076103690566E+01	   U
O_{124}(0.6)	-2.96277167136712E-01	3.24149815590218E-01	1.22474430865637E-01	-1.06064456965470E-01	7.96356720801403E+01	   S
O_{125}(0.6)	1.40872858703483E-02	1.59241527053302E-01	1.28195760660452E-01	-1.45246224364483E-03	7.98104297708239E+01	   U
O_{126}(0.6)	2.52296490768645E-01	2.95956327561267E-01	7.43173596868209E-02	8.62062277334234E-03	8.08639727518647E+01	   S
O_{127}(0.6)	3.50574118052465E-01	2.93409587061617E-01	5.47557758464504E-02	-3.51623111187467E-03	8.22050163153996E+01	   U
O_{128}(0.6)	3.38374090307806E-01	2.81971106719292E-01	6.00858001523626E-02	-4.90787568601988E-03	8.31712369843040E+01	   U
O_{129}(0.6)	2.15808675196465E-01	2.70448986194618E-01	6.95516294461799E-02	4.33859866438889E-03	8.31857328814612E+01	   U
O_{130}(0.6)	1.90259617548936E-01	2.84083773779443E-01	9.67101876390153E-02	4.09781172715861E-03	8.38425837896500E+01	   U
O_{131}(0.6)	1.53537588851246E-01	3.69083932259870E-01	1.45499512655270E-01	-5.04381970328153E-03	8.43156751252023E+01	   U
O_{132}(0.6)	3.29603830458172E-02	3.28122316996826E-01	5.53509949596818E-02	-7.40832903885275E-03	8.49820491711853E+01	   U
O_{133}(0.6)	1.65020625221178E-01	3.56745329372352E-01	1.50399772698288E-01	1.90205528014518E-03	8.58899613954999E+01	   U
O_{134}(0.6)	2.03530230595384E-01	2.66842673919891E-01	7.35964529668698E-02	1.24798591743449E-02	8.59567720355504E+01	   U
O_{135}(0.6)	3.35493488459706E-01	2.47870145064098E-01	5.54913578409975E-02	-1.77431891802597E-04	8.63268316594091E+01	   U
O_{136}(0.6)	2.10217128669131E-01	3.55113922653159E-01	1.35903529102288E-01	4.27353874035446E-04	8.70283707192945E+01	   U
