O_{index}(m_3)	            z_0	          v_x	       v_y	          v_z	        T           stability
O_{12}(0.3)	-4.87609507740590E-02	1.87694911125134E-01	1.02175832032099E-02	-9.23633095065568E-03	3.08655810995050E+01	   S
O_{13}(0.3)	2.68591753079090E-01	8.49232732026407E-02	1.86820742230010E-01	8.77729361102680E-03	3.14565609625770E+01	   U
O_{14}(0.3)	-1.66514753547797E-02	1.79432774408604E-01	8.14386470341457E-03	-3.00223873489137E-03	3.44864625018941E+01	   S
O_{15}(0.3)	1.07070083123926E-01	2.07564659626045E-01	4.90577611188578E-03	2.22063029712134E-02	3.47339153414803E+01	   S
O_{16}(0.3)	2.54830745261217E-02	1.84214919779495E-01	5.28651460257502E-03	9.36908979027905E-04	3.52992528340997E+01	   U
O_{17}(0.3)	6.18947916250489E-02	1.86515157028085E-01	7.09113795918722E-03	7.94595887139899E-03	3.57921058019960E+01	   U
O_{18}(0.3)	6.34908910580302E-01	9.92597891721394E-03	1.81328690908255E-01	2.57567436810898E-03	3.81306141445592E+01	   U
O_{19}(0.3)	-6.56099030186393E-02	1.90513016957405E-01	9.28665366178424E-03	-1.26039312604872E-02	3.83254481172905E+01	   S
O_{20}(0.3)	6.33280784386474E-01	8.35602612706081E-03	1.84132656692122E-01	2.67765317017533E-03	3.86886462772881E+01	   U
O_{21}(0.3)	-3.36718931789130E-02	2.06574976905712E-01	3.73969439557430E-03	-1.07059109577956E-02	4.00014924970603E+01	   S
O_{22}(0.3)	-1.07483007505001E-01	2.05463917970184E-01	2.18502204398382E-03	-2.60000253646122E-02	4.00074200351684E+01	   U
O_{23}(0.3)	-3.50868399840965E-02	2.08023395267477E-01	2.66848390295688E-03	-3.36559137518211E-03	4.03518145219660E+01	   U
O_{24}(0.3)	1.15988679803703E-01	2.04601824808517E-01	5.48034626813298E-03	2.37099293736544E-02	4.17421148433359E+01	   S
O_{25}(0.3)	-9.05784575857522E-03	1.77476427365617E-01	6.06375618607716E-03	-1.61173989360205E-03	4.55292607624103E+01	   S
O_{26}(0.3)	7.11382341849843E-01	7.65534889580799E-03	1.77012263296153E-01	1.95083750753871E-03	4.60449153522642E+01	   U
O_{27}(0.3)	-7.87804262557230E-02	2.04578137572598E-01	4.12726819576849E-03	-1.61063728668979E-02	4.71964918863593E+01	   S
O_{28}(0.3)	2.61382003494486E-02	1.84427902383431E-01	1.05605082017282E-02	-5.47781186639298E-04	4.88508857604198E+01	   S
O_{29}(0.3)	9.55664616711970E-01	4.24154735321343E-03	1.63067613892686E-01	4.04412645221459E-03	5.10848736247879E+01	   S
O_{30}(0.3)	9.29080534074804E-01	1.24162538274881E-02	1.68725399932914E-01	4.32654745030038E-04	5.21089336474409E+01	   U
O_{31}(0.3)	-2.12552713819474E-02	2.05108013134169E-01	6.29352650365504E-04	-6.58419393425204E-03	5.28207064993191E+01	   U
O_{32}(0.3)	-6.09157202707959E-03	1.76247231473432E-01	5.48944587476545E-03	-1.07585466917493E-03	5.65751942652166E+01	   S
O_{33}(0.3)	-3.59440721892479E-02	1.85442720604115E-01	8.76608269715567E-03	-6.70909029646514E-03	6.60364666787960E+01	   S
O_{34}(0.3)	5.24436808052319E-02	2.09711740338897E-01	2.85904616780084E-03	5.77109694353679E-03	6.80338821496505E+01	   U
O_{35}(0.3)	7.72961342334447E-01	1.26763321332918E-02	1.70698475920067E-01	2.95893407199809E-03	7.25574070990857E+01	   U
O_{36}(0.3)	2.58250800160756E-02	1.85290169225152E-01	1.11365701426005E-02	-1.21723097328879E-04	7.27655071812351E+01	   U
O_{37}(0.3)	8.62927151180270E-01	4.01371817591034E-03	1.68166477694073E-01	3.45190065237727E-03	7.76809530171607E+01	   U
O_{38}(0.3)	8.19329855025264E-01	1.09057532607854E-01	1.13247515847129E-01	1.79216526094355E-03	7.95845841574270E+01	   U
O_{39}(0.3)	-1.20961686195532E-02	1.78460371756728E-01	6.77809997565357E-03	-2.16583865882452E-03	8.00643415951647E+01	   S
O_{40}(0.3)	9.13300795501453E-01	6.37327094236534E-03	1.65323670705703E-01	5.24909255079288E-03	8.60516987070577E+01	   S
O_{41}(0.3)	9.14359298948265E-01	9.97845824634551E-03	1.66349885976151E-01	-3.74983406690262E-03	8.66323813550587E+01	   S
O_{42}(0.3)	7.98858532108283E-01	7.30908523555944E-03	1.71813025512038E-01	5.99758317494002E-03	8.88989765128104E+01	   U
O_{43}(0.3)	1.74951920143608E-02	1.84741146183861E-01	8.61663825616874E-03	-6.63864885513921E-04	8.93640207931503E+01	   U
O_{44}(0.3)	2.05092704156475E-02	2.06685141709452E-01	1.78131709951157E-03	1.22318999163611E-03	9.33260595577707E+01	   U
O_{45}(0.3)	8.12762999279724E-01	5.50811802525501E-03	1.71081423124060E-01	5.49498009923788E-03	9.66837113046276E+01	   U
O_{46}(0.3)	3.33994346155933E-02	2.09860126556820E-01	2.11980758397703E-03	8.75698586849348E-04	1.01066106516743E+02	   S
O_{47}(0.3)	-2.04914578216719E-02	1.76645036901811E-01	4.02190732809817E-03	-3.61992079825382E-03	1.02029346958166E+02	   U
O_{48}(0.3)	8.55075738180521E-01	7.89313792691328E-03	1.68425697636952E-01	6.44141147253146E-03	1.04903389333757E+02	   U
O_{49}(0.3)	4.23282664852885E-02	2.09006359848456E-01	3.16180556754362E-03	4.14711889474887E-03	1.08309841945615E+02	   U
O_{50}(0.3)	9.97698925709141E-01	9.65880729721815E-03	1.60642209583621E-01	9.36307330366861E-03	1.10757036260515E+02	   S
O_{51}(0.3)	8.60186975386713E-01	5.36756132603040E-03	1.68308632985266E-01	4.61973936671811E-03	1.12666820215298E+02	   S
O_{52}(0.3)	9.87779936407451E-01	3.63244565654048E-03	1.61244208445377E-01	-4.50606380484021E-03	1.18248301249363E+02	   U
O_{53}(0.3)	9.85356998641587E-01	-2.56643549906009E-04	1.61707228980900E-01	-8.30384901078612E-03	1.18389141104833E+02	   U
O_{54}(0.3)	7.91580793454997E-01	4.11781056360035E-03	1.72258444511634E-01	3.28750054825552E-03	1.23379218293251E+02	   S
O_{55}(0.3)	8.14750952213984E-01	7.73249425900890E-03	1.70858499828947E-01	6.22907874616456E-03	1.23879379717292E+02	   U
O_{56}(0.3)	9.22348202784861E-01	1.26558113886684E-02	1.67615349500291E-01	6.69687721067890E-04	1.31419350117437E+02	   U
O_{57}(0.3)	2.55521200576029E-02	2.07110101816982E-01	2.12867849729021E-03	1.99507085570203E-03	1.33694123318725E+02	   S
O_{58}(0.3)	2.31827216891600E-02	2.09843119199394E-01	1.62093230572759E-03	-1.72769670399663E-03	1.34044701124107E+02	   U
O_{59}(0.3)	7.73163557917651E-01	7.99131760673338E-03	1.73211091842608E-01	4.49766387419905E-03	1.34949804624338E+02	   U
O_{60}(0.3)	9.28870267762066E-01	5.68088377784440E-03	1.62290329251874E-01	-5.26795104542721E-03	1.35599458852956E+02	   U
O_{61}(0.3)	9.72017856719104E-01	1.65579864761893E-02	1.59215507722801E-01	-7.12335660937775E-03	1.36625130018916E+02	   U
O_{62}(0.3)	9.29525368474382E-01	5.65629575128678E-03	1.64340072673497E-01	4.89208262110117E-03	1.37066653841507E+02	   U
O_{63}(0.3)	8.31318226460148E-01	4.96452571739613E-03	1.69942235155400E-01	3.98588221684266E-03	1.39368616612091E+02	   U
